ItemNo,Customer name,mobile number,company name,Product name,Material,Length,Width,Height,Thickness,Inner diameter,Outer diameter,Start Date,End Date,Quantity
1,Rupert,7878787784,ashok leyland,gear box,powdered metals,102.67,49.53,19.69,3.14,8.44,15.23,15-06-2022,18-12-2022,1000
2,Yusuf,8956231454, RSB,bearing,carbon steel,102.5,51.42,19.63,50.9,6.5,17.16,17-07-2022,26-10-2022,3500
3,Harvey,7894561201,stotz,oilseals,perbunan,95.37,52.25,21.51,10.15,3.5,5.8,15-04-2022,27-11-2022,4000
4,Ollie,7845128956,planodrives,flywheel,chromium alloy,94.77,49.24,18.6,25.12,2.5,4.8,30-10-2022,25-12-2022,5000
5,Jackson,9636968545,mesh,lock washers,aluminum,104.26,47.9,19.46,0.078,13.14,17.5,18-01-2022,23-10-2022,2500
6,Tobias,9545121425,hero,forgings,nickel,105.18,49.39,20.36,3.5,140.1,265.6,17-04-2022,20-11-2022,3000
7,Nathan,9856235689,reshmi,metal nuts,silicon,97.35,48.05,20.22,4.3,1.5,3.4,15-02-2022,26-12-2022,6000
8,Myles,7845568956,progeasive,hydraulic cylinder,carbon steel,99.35,44.59,21.03,12.5,3.5,5.7,15-03-2022,28-11-2022,7500
9,Mia,6352417898,gear tec,molding washer,EPDM,90.62,47.29,19.78,5.5,17.13,20.5,18-06-2022,23-10-2022,2000
10,Willow,7548124578,cleveland,couplings,stainless steel,97.22,52.14,20.71,3.18,4.5,7.5,17-12-2022,14-12-2022,4500
11,Rosie,8965569856,TVS locus,metal fastener,alloy steel,100,54.76,20.62,12.4,3.7,9.5,19-09-2022,14-12-2022,6000
12,Sophia,7845987454,omni ,brake band,rolled steel,97.23,48.26,19.51,6.4,80,120,15-01-2022,15-12-2022,7000
13,Lily,6985241242,nixon,Valve Body,aluminum alloy,105.72,50.04,20.06,19.06,60.24,75.43,19-08-2022,30-12-2022,1500
14,Emily,9874512456,tremec corporation,oil pan,carbon steel,89.82,45.98,20.3,2.3,40.15,45.18,16-03-2022,19-09-2022,2500
15,Ella,7878787784,borgwarner,output shaft,carbon steel 50 C 12,99.17,53.54,20.25,40.15,20.15,40.25,15-04-2022,18-11-2022,3500
16,Maya,8956231454,ashok leyland,gear box,powdered metals,95.51,45.36,20.52,3.14,8.44,15.23,15-06-2022,18-12-2022,4500
17,Alice,7894561201, RSB,bearing,carbon steel,107.69,48.18,19.33,50.9,6.5,17.16,15-06-2022,18-12-2022,5500
18,Mila,7845128956,stotz,oilseals,perbunan,106.83,50.81,19.12,10.15,3.5,5.8,17-07-2022,26-10-2022,6000
19,Bonnie,9636968545,planodrives,flywheel,chromium alloy,98.73,55.76,19.37,25.12,2.5,4.8,15-04-2022,27-11-2022,5700
20,Eva,9545121425,mesh,lock washers,aluminum,94.31,48.74,18.8,0.078,13.14,17.5,30-10-2022,25-12-2022,2200
